(2024-06-27 - 2024-06-30)
72,Vogelnest,83 CHF 
73,Häuschen mitten in der Natur,150 CHF 
74,Panorama Dachstock-Loft,63 CHF 
75,Aufenthalt bei Anton Verena,80 CHF 
76,Ferienhaus *Waschhüsli* sehr charmant mit Seesicht,197 CHF 
77,Aufenthalt bei Maya,104 CHF 
78,Aufenthalt bei Luca,60 CHF 
79,Ferienhaus mit Charme an traumhafter Lage,148 CHF 
80,Gemütliche kleine 1-Zimmer-Wohnung in Heiden,77 CHF 
81,Aufenthalt bei Esther,75 CHF 
82,Paradies am Dreiländereck & Kostenlosem Parkplatz,145 CHF 
83,Aufenthalt bei Priska,83 CHF 
84,Ganze Wohnung mitten in der Altstadt von Arbon,94 CHF 
85,Aufenthalt bei Ruth,69 CHF 
86,Leimathof Wohnung Typ I,218 CHF 
87,Wellness,296 CHF 
88,Aufenthalt bei Ulrich,57 CHF 
89,Traumhafte Familienferien in Landhaus im Grünen,518 CHF 
90,Aufenthalt bei Markus,146 CHF 
91,Aufenthalt bei Vanessa,98 CHF 
92,Zentrale 3 1/2-grosse Wohnung 2.OG,265 CHF 
93,5 LuxuryApartment★★Kostenloser Parkplatz★Netflix★in der Nähe der Stadt,365 CHF 
94,"Komplett neu renovierte, heimelige Ferienwohnung",115 CHF 
95,Aufenthalt bei Andreas,50 CHF 
96,Unsere Wohnung eignet sich für die Unterkunft,134 CHF 
97,Zu Gast im Hecht Rehetobel,96 CHF 
98,Aufenthalt bei Nazim,106 CHF 
99,Aufenthalt bei Daniel,52 CHF 
100,Home at Henry,162 CHF 
(2024-10-10 - 2024-10-20)
Nummer,Name der Unterkunft,Preis pro Nacht
1,Stilvoll zentral 1 Zi-Studio im Gertrud Schlössli,54 CHF 
2,2.New Apartment 2 Min vom Bahnhof,139 CHF 
3,"2.5 Zimmer mit Balkon Nähe Spital, Uni",97 CHF 
4,Zur Geduld,87 CHF 
5,Neu möblierte schöne Wohnung im Zentrum *AppleTV*,106 CHF 
6,winzige Wohnung,93 CHF 
7,Studio mit Charme und Aussicht,58 CHF 
8,"2.5 Zimmer, modern, ruhig und zentrumsnah",124 CHF 
9,Studio mit Panoramaaussicht,58 CHF 
10,TouchBed | Budget Studio,101 CHF 
11,Sky-Town Apartment,111 CHF 
12,Grosszügige Wohnung in der Stadt,147 CHF 
13,1 Zimmerwohnung ohne Küche mitten im Zentrum,75 CHF 
14,"ruhige, neue Dachwohnung an Altstadt, nahe Messe",114 CHF 
15,"Nähe Theater, Olma, Uni, Stadtzentrum",134 CHF 
16,Charmante Jugendstilwohnung,88 CHF 
17,"Attika 2,5 Zimmer möbliert Nähe HSG Universität",107 CHF 
18,Kernsanierte Wohnung nähe Bahnhof und Zentrum,131 CHF 
19,Einzigartige Lage mit Blick über die ganze Stadt,145 CHF 
20,"Schöne, helle, grosse Wohnung mit Balkon *SmartTV",124 CHF 
21,Aufenthalt bei Heinz,81 CHF 
22,"2 Zimmer mit Balkon, Netflix und Mietfahrräder",100 CHF 
23,1.New Apartment  2 Min vom Bahnhof,139 CHF 
24,Umweltfreundl. Rooftop Apart. St. Gallen Zentrum,241 CHF 
25,Atelier/Loft im Grünen Individuelles Altes Haus,126 CHF 
26,Schöne 2 1/2 Zimmer Dachwohnung,98 CHF 
27,"Eigene 2.5 Zimmer WHG mit Balkon, Mama Home W33",103 CHF 
28,Studio Trailalps: Nähe St. Gallen,66 CHF 
29,2-Zimmer-Wohnung in der Nähe von HSG,87 CHF 
30,Schönes Studio in St. Gallen,68 CHF 
31,Exklusive Mini-Villa mit viel Platz,190 CHF 
32,"Modernes, hochwertiges Studio",61 CHF 
33,"Top Auszeit, Ferienhaus mit Bergblick",129 CHF 
34,GöttiFritz - 360Grad Weitsicht mit Frühstück,187 CHF 
35,einfaches Flat,87 CHF 
36,Helle Wohnung über St.Gallen,102 CHF 
37,Gemütlich & Gross*Neu renovierte Wohnung*SmartTV,129 CHF 
38,2.5 Zimmer Dachwohnung mit Gartensitzplatz,121 CHF 
39,Cresta,147 CHF 
40,TouchBed | Großes 3-BR-Apartment Erdgeschoss,277 CHF 
41,Aufenthalt bei Erola,41 CHF 
42,Aufenthalt bei Dijana,43 CHF 
43,TouchBed | Wohnung,162 CHF 
44,Bijou in der Stadt St. Gallen,138 CHF 
45,Großes 1 Bett Wohnung. Super zentral,76 CHF 
46,Gartenstudio in Appenzellerhaus,67 CHF 
47,Charmante Wohnung im Zentrum von Goldach,73 CHF 
48,Charmante Wohnung in Seenähe,73 CHF 
49,Aufenthalt bei Nino,82 CHF 
50,*Ferienwohnung 2 Seesitz*,100 CHF 
51,gemütliche Dachwohnung,97 CHF 
52,Aufenthalt bei Mama Home,105 CHF 
53,Aufenthalt bei Erola,45 CHF 
54,TouchBed | Budget Apartment,146 CHF 
55,TouchBed | Superior Studio,128 CHF 
56,ruhiges Tiny House in der Nähe des Waldes,107 CHF 
57,"Bungalow mit Traumaussicht
LOMA BUENA VISTA",119 CHF 
58,Aufenthalt bei Varathapandi,36 CHF 
59,Aufenthalt bei Katharina,51 CHF 
60,"Luftiges Studio @sunehus.ch,  mit OSKAR Gästekarte",93 CHF 
61,TouchBed | Budget Doppelzimmer,84 CHF 
62,2. Charmante Wohnung in Seenähe,69 CHF 
63,"Modernes, hochwertiges Studio",87 CHF 
64,Aufenthalt bei Erola,41 CHF 
65,Schöne Wohnung im Herzen von Herisau bis 6 Gäste,165 CHF 
66,Ferienhaus Sennastübli,107 CHF 
67,Genieße den Seeblick von der Dachterrasse aus,154 CHF 
68,spezielle Wohnung in Goldach,75 CHF 
69,Wunderschöne Jugendstil-Wohnung Nähe Olma und Uni,214 CHF 
70,Ferienwohnung klein aber fein,77 CHF 
71,Ruhige schön eingerichtete Einliegerwohnung,67 CHF 
72,Großzügige Wohnung in Herisau,83 CHF 
73,Leimathof Attika,234 CHF 
74,wunderschönes studio im dorfkern von trogen,78 CHF 
75,Aufenthalt bei Maya,57 CHF 
76,"Top Luxusappartement mit Terrasse und Garten, Grat",225 CHF 
77,Ganze Wohnung mitten in der Altstadt von Arbon,61 CHF 
78,3.5 Zimmerwohnung - in der Nähe des Zentrums,104 CHF 
79,Aufenthalt bei Andy,77 CHF 
80,"Stilvolle 2,5 Zimmer Wohnung",126 CHF 
81,Einzigartige Lage direkt am See mit endlosem Blick,179 CHF 
82,Traumhaftes Haus nahe Bodensee,92 CHF 
83,Feriengenuss im Appenzellerland,144 CHF 
84,Gemütliche Wohnung mit Terrasse im Pfauen,110 CHF 
85,Aufenthalt bei Erola,43 CHF 
86,2-Zimmer - Studio - sehr zentral City,93 CHF 
87,Aufenthalt bei Katharina,51 CHF 
88,*Ferienwohnung 5 Seeruhe*,121 CHF 
89,Schöne Einzimmerwohnung,75 CHF 
90,Ferienhaus *Waschhüsli* sehr charmant mit Seesicht,146 CHF 
91,habu Apartments bei OLMA % gemütlicher Aufenthalt,206 CHF 
92,Schmuckes Reiheneinfamilienhaus,89 CHF 
93,Aufenthalt bei Yunus,58 CHF 
94,Aufenthalt bei Franziska,65 CHF 
95,St. Gallen ist schön,43 CHF 
96,Tas24 Travel and Sleep,77 CHF 
97,Aufenthalt bei Sonja,76 CHF 
98,Moderne Ruheoase auf entlegenem Hügel,164 CHF 
99,3 Zimmer Appartement,105 CHF 
100,Appenzeller Haus - Paradies mit Aussicht,156 CHF 
